nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes
Acqua di Parma Colonia,Acqua di Parma,,1916,4.15,"3,500","['citrus', 'aromatic', 'fresh spicy', 'woody', 'lavender', 'fresh']",male,moderate,average,ok,[],[],[]
Acqua di Parma Colonia Assoluta,Acqua di Parma,Bertrand Duchaufour,2003,4.22,"1,167","['citrus', 'woody', 'aromatic', 'earthy', 'fresh spicy', 'yellow floral', 'sweet', 'warm spicy']",male,moderate,average,ok,"['Lemon Verbena', 'Sweet Orange', 'Bergamot', 'Bitter Orange']","['Paprika', 'Pink Pepper', 'Ylang-Ylang', 'Jasmine', 'Cedar', 'Cardamom', 'Vetiver']","['White Musk', 'Patchouli', 'Resins', 'Oakmoss']"
Acqua di Parma Colonia Assoluta Edizione Riviera,Acqua di Parma,Bertrand Duchaufour,2007,3.43,14,"['citrus', 'woody', 'aromatic', 'fresh spicy', 'rose', 'sweet']",,,average,,"['Bergamot', 'Orange', 'Sicilian Lemon']","['Lemon Verbena', 'Lavender', 'Bulgarian Rose']","['Rosemary', 'Cedar', 'Sandalwood', 'Ylang-Ylang']"
Acqua di Parma Colonia Assoluta Edizione Speciale 2011,Acqua di Parma,,,3.67,9,"['aromatic', 'fresh spicy', 'lavender', 'white floral', 'citrus', 'amber', 'rose', 'musky', 'woody', 'floral']",,,strong,,[],[],[]
Acqua di Parma Colonia Designer Edition,Acqua di Parma,,2011,4.08,12,"['citrus', 'amber', 'fresh spicy', 'fresh', 'aromatic', 'lavender', 'musky', 'rose', 'powdery', 'floral']",,,strong,,"['Rosemary', 'Lavender', 'Citruses']","['Rose', 'Jasmine']","['Amber', 'Musk']"
Acqua di Parma Colonia Edizione Centenario,Acqua di Parma,,2016,3.75,4,"['citrus', 'aromatic', 'woody', 'fresh spicy', 'powdery', 'white floral', 'lavender', 'musky', 'rose', 'earthy']",,,,,"['Rosemary', 'Lemon Verbena', 'Citruses', 'Lemon']","['Rose', 'Lavender', 'Jasmine']","['Sandalwood', 'Musk', 'Amber', 'Vetiver', 'Patchouli']"
Acqua di Parma Colonia Pura,Acqua di Parma,François Demachy,2017,4.01,"1,316","['citrus', 'ozonic', 'aromatic', 'fresh spicy', 'green', 'white floral', 'woody', 'musky', 'yellow floral', 'powdery']",male,moderate,average,ok,"['Orange', 'Bergamot', 'Petitgrain', 'Ozonic notes']","['Coriander', 'Jasmine Sambac', 'Narcissus']","['Cedar', 'White Musk', 'Patchouli']"
Acqua di Parma Gelsomino Nobile,Acqua di Parma,François Demachy,2011,4.09,902,"['white floral', 'tuberose', 'citrus']",female,moderate,average,ok,"['Mandarin Orange', 'Pink Pepper']","['Tuberose', 'Orange Blossom', 'Jasmine']","['Musk', 'Cedar']"
Acqua di Parma Iris Nobile,Acqua di Parma,Francis Kurkdjian,2006,4.01,"1,901","['white floral', 'powdery', 'citrus', 'yellow floral', 'iris', 'tuberose', 'sweet', 'floral', 'woody', 'violet']",female,moderate,average,ok,"['Mandarin Orange', 'Star Anise', 'Orange', 'Iris', 'Bergamot']","['Orange Blossom', 'Tuberose', 'Mimosa', 'Ylang-Ylang', 'Hibiscus', 'Cedar']","['Amber', 'Vanilla']"
Acqua di Parma Iris Nobile Edizione Speciale 2008,Acqua di Parma,,2008,4.17,89,"['iris', 'powdery', 'citrus', 'earthy', 'woody', 'violet', 'vanilla', 'mossy', 'yellow floral', 'patchouli']",,eternal,average,,"['Mandarin Orange', 'Star Anise', 'Bergamot']","['Ylang-Ylang', 'Iris']","['Patchouli', 'Vanilla', 'Oakmoss']"
Acqua di Parma Magnolia Nobile,Acqua di Parma,Antoine Maisondieu,2009,4.12,"2,477","['citrus', 'floral', 'white floral', 'aromatic', 'woody']",female,moderate,average,ok,"['Citron', 'Bergamot', 'Lemon']","['Magnolia', 'Tuberose', 'Rose', 'Jasmine']","['Vanilla', 'Vetiver', 'Sandalwood', 'Patchouli']"
Acqua di Parma Magnolia Nobile Special Edition,Acqua di Parma,,2010,3.87,47,"['floral', 'citrus', 'woody', 'white floral', 'vanilla', 'aromatic', 'rose', 'powdery', 'tuberose', 'earthy']",,eternal,enormous,,"['Amalfi Lemon', 'Bergamot', 'Virginia Cedar']","['Magnolia', 'Tuberose', 'Rose', 'Jasmine']","['Vetyver', 'Vanille', 'Sandalwood', 'Patchouli']"
Acqua di Parma Profumo,Acqua di Parma,,1930,4.29,270,"['woody', 'rose', 'yellow floral', 'white floral', 'floral', 'sweet', 'aromatic', 'earthy', 'musky', 'powdery']",female,long lasting,enormous,ok,"['Ylang-Ylang', 'Bergamot', 'Peony']","['Jasmine', 'Labdanum', 'Bulgarian Rose']","['Musk', 'Vetiver', 'Sandalwood', 'Patchouli']"
